#id	check	kind	owner	path	line	detail
8e409a28347c	catalog(consulted)	reached	JS-E01	../../main/java/liqp/Insertions.java	130	lowering CtBinaryOperator/Expression — consulted 1392, fired 18, declarations 0: `==`/`!=` are REFERENCE identity in Java; Scala's `==` calls `equals`
9bfbf4775f4c	catalog(consulted)	reached	JS-E02	../../main/java/liqp/Examples.java	82	lowering CtUnaryOperator/Expression — consulted 73, fired 2, declarations 0: postfix/prefix `++`/`--` USED AS A VALUE yields the value before the update — the VALUE only; the operand's single evaluation is JS-E17
b1fce0cbcd67	catalog(consulted)	reached	JS-E03	-	0	lowering CtOperatorAssignment/Statement — consulted 7, fired 0, declarations 0: compound assignment NARROWS implicitly to the left-hand type — STATEMENT position; the lvalue's single evaluation is JS-E17
da32b7817464	catalog(consulted)	reached	JS-E05	../../main/java/liqp/Examples.java	75	lowering CtConditional/Expression — consulted 41, fired 41, declarations 0: the conditional operator's type is computed, not the syntactic lub of its branches
f86b2b8279f3	catalog(consulted)	reached	JS-E14	liqp/RenderSettingsTest.java	150	lowering CtBinaryOperator/Expression — consulted 1392, fired 4, declarations 0: string concatenation with a NON-`String` left operand
ff03b60964f4	catalog(consulted)	reached	JS-E15	liqp/TestUtils.java	50	lowering CtAssignment/Expression — consulted 1, fired 1, declarations 0: an assignment IS an expression, with the assigned value
1f875123d9c3	catalog(uncited)	absent	JS-C30	-	0	UNCITED — Scala has a direct counterpart; only the capture wiring is missing (JLS side: JLS 14.3): method-LOCAL named classes
ddd222cdb7e4	catalog(uncited)	absent	JS-C43	-	0	UNCITED — a case class differs in accessor naming and in three facets of `toString` (JLS side: JLS 8.10): Java `record`
38c031beb630	catalog(uncited)	absent	JS-S09	-	0	UNCITED — a `match` is already an expression, so the image exists (JLS side: JLS 15.28, 14.21): switch EXPRESSIONS and `yield`
29d35db6c1db	catalog(uncited)	absent	JS-S10	-	0	UNCITED — Scala patterns are a superset, so the image exists (JLS side: JLS 14.11.1, 14.30): pattern and record switch, with sealed exhaustiveness
9c22be7f2f32	catalog(uncited)	handled	JS-C01	-	0	UNCITED — a companion object has no inheritance relation to its class's parents (JLS side: JLS 8.2, 8.4.8): a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
3047600ceab7	catalog(uncited)	handled	JS-C02	-	0	UNCITED — as JS-C01, through the interface edge (JLS side: JLS 9.3, 8.1.5): interface constants are inherited through `implements`
c16eaa596e70	catalog(uncited)	handled	JS-C03	-	0	UNCITED — a companion re-export must not merge a redeclaration away (JLS side: JLS 8.4.8.2): static HIDING is resolved by the STATIC type of the qualifier
e6043578ce6b	catalog(uncited)	handled	JS-C04	-	0	UNCITED — a same-named Scala member is an OVERRIDE, virtually dispatched (JLS side: JLS 8.3, 6.4.1): a subclass field SHADOWS a superclass field — two storage cells, not one
86b74f79634f	catalog(uncited)	handled	JS-C05	-	0	UNCITED — fully-qualified emission removes the question (JLS side: JLS 6.5.6, 7.5.3): a static nested constant reached through a SUBCLASS's name, and `import static`
2974cd95acc0	catalog(uncited)	handled	JS-C06	-	0	UNCITED — a companion call has no receiver slot to put the expression in (JLS side: JLS 15.12.4.1): `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
